"Labor Force Data by County, 2014 Annual Averages",,,,,,,,,
,,,,,,,,,
,State,County,,,,,,,Unemploy-
LAUS,FIPS,FIPS,,,,Labor,,,ment Rate
Code,Code,Code,County Name/State Abbreviation,Year,,Force,Employed,Unemployed,(%)
,,,,,,,,,
CN0100100000000,01,001,"Autauga County, AL",2014,,"25,597     ","24,097     ","1,500     ",5.9     
CN0100300000000,01,003,"Baldwin County, AL",2014,,"86,400     ","81,084     ","5,316     ",6.2     
CN0100500000000,01,005,"Barbour County, AL",2014,,"8,849     ","7,913     ",936     ,10.6     
CN0100700000000,01,007,"Bibb County, AL",2014,,"8,560     ","7,942     ",618     ,7.2     
CN0100900000000,01,009,"Blount County, AL",2014,,"24,532     ","23,023     ","1,509     ",6.2     
CN0101100000000,01,011,"Bullock County, AL",2014,,"4,733     ","4,314     ",419     ,8.9     
CN0101300000000,01,013,"Butler County, AL",2014,,"9,272     ","8,477     ",795     ,8.6     
CN0101500000000,01,015,"Calhoun County, AL",2014,,"47,240     ","43,467     ","3,773     ",8.0     
CN0101700000000,01,017,"Chambers County, AL",2014,,"15,305     ","14,276     ","1,029     ",6.7     
CN0101900000000,01,019,"Cherokee County, AL",2014,,"11,388     ","10,725     ",663     ,5.8     
CN0102100000000,01,021,"Chilton County, AL",2014,,"19,099     ","17,899     ","1,200     ",6.3     
CN0102300000000,01,023,"Choctaw County, AL",2014,,"4,495     ","4,088     ",407     ,9.1     
CN0102500000000,01,025,"Clarke County, AL",2014,,"8,157     ","7,161     ",996     ,12.2     
CN0102700000000,01,027,"Clay County, AL",2014,,"5,514     ","5,117     ",397     ,7.2     
CN0102900000000,01,029,"Cleburne County, AL",2014,,"5,855     ","5,467     ",388     ,6.6     
CN0103100000000,01,031,"Coffee County, AL",2014,,"20,232     ","18,884     ","1,348     ",6.7     
CN0103300000000,01,033,"Colbert County, AL",2014,,"24,030     ","22,034     ","1,996     ",8.3     
CN0103500000000,01,035,"Conecuh County, AL",2014,,"4,718     ","4,229     ",489     ,10.4     
CN0103700000000,01,037,"Coosa County, AL",2014,,"4,468     ","4,074     ",394     ,8.8     
CN0103900000000,01,039,"Covington County, AL",2014,,"15,914     ","14,674     ","1,240     ",7.8     
CN0104100000000,01,041,"Crenshaw County, AL",2014,,"6,298     ","5,862     ",436     ,6.9     
CN0104300000000,01,043,"Cullman County, AL",2014,,"35,920     ","33,738     ","2,182     ",6.1     
CN0104500000000,01,045,"Dale County, AL",2014,,"20,322     ","18,877     ","1,445     ",7.1     
CN0104700000000,01,047,"Dallas County, AL",2014,,"16,010     ","14,203     ","1,807     ",11.3     
CN0104900000000,01,049,"DeKalb County, AL",2014,,"28,952     ","26,955     ","1,997     ",6.9     
CN0105100000000,01,051,"Elmore County, AL",2014,,"36,550     ","34,455     ","2,095     ",5.7     
CN0105300000000,01,053,"Escambia County, AL",2014,,"14,369     ","13,215     ","1,154     ",8.0     
CN0105500000000,01,055,"Etowah County, AL",2014,,"43,730     ","40,639     ","3,091     ",7.1     
CN0105700000000,01,057,"Fayette County, AL",2014,,"6,351     ","5,851     ",500     ,7.9     
CN0105900000000,01,059,"Franklin County, AL",2014,,"13,719     ","12,654     ","1,065     ",7.8     
CN0106100000000,01,061,"Geneva County, AL",2014,,"10,794     ","10,071     ",723     ,6.7     
CN0106300000000,01,063,"Greene County, AL",2014,,"2,987     ","2,613     ",374     ,12.5     
CN0106500000000,01,065,"Hale County, AL",2014,,"6,035     ","5,437     ",598     ,9.9     
CN0106700000000,01,067,"Henry County, AL",2014,,"6,778     ","6,268     ",510     ,7.5     
CN0106900000000,01,069,"Houston County, AL",2014,,"45,161     ","42,080     ","3,081     ",6.8     
CN0107100000000,01,071,"Jackson County, AL",2014,,"23,453     ","21,744     ","1,709     ",7.3     
CN0107300000000,01,073,"Jefferson County, AL",2014,,"312,201     ","292,502     ","19,699     ",6.3     
CN0107500000000,01,075,"Lamar County, AL",2014,,"5,626     ","5,232     ",394     ,7.0     
CN0107700000000,01,077,"Lauderdale County, AL",2014,,"43,482     ","40,346     ","3,136     ",7.2     
CN0107900000000,01,079,"Lawrence County, AL",2014,,"14,025     ","12,867     ","1,158     ",8.3     
CN0108100000000,01,081,"Lee County, AL",2014,,"71,372     ","67,359     ","4,013     ",5.6     
CN0108300000000,01,083,"Limestone County, AL",2014,,"39,585     ","37,162     ","2,423     ",6.1     
CN0108500000000,01,085,"Lowndes County, AL",2014,,"3,874     ","3,376     ",498     ,12.9     
CN0108700000000,01,087,"Macon County, AL",2014,,"8,239     ","7,486     ",753     ,9.1     
CN0108900000000,01,089,"Madison County, AL",2014,,"170,117     ","159,573     ","10,544     ",6.2     
CN0109100000000,01,091,"Marengo County, AL",2014,,"7,626     ","7,015     ",611     ,8.0     
CN0109300000000,01,093,"Marion County, AL",2014,,"12,292     ","11,317     ",975     ,7.9     
CN0109500000000,01,095,"Marshall County, AL",2014,,"39,911     ","37,240     ","2,671     ",6.7     
CN0109700000000,01,097,"Mobile County, AL",2014,,"185,324     ","170,957     ","14,367     ",7.8     
CN0109900000000,01,099,"Monroe County, AL",2014,,"7,618     ","6,773     ",845     ,11.1     
CN0110100000000,01,101,"Montgomery County, AL",2014,,"105,027     ","97,798     ","7,229     ",6.9     
CN0110300000000,01,103,"Morgan County, AL",2014,,"56,042     ","52,335     ","3,707     ",6.6     
CN0110500000000,01,105,"Perry County, AL",2014,,"3,491     ","3,066     ",425     ,12.2     
CN0110700000000,01,107,"Pickens County, AL",2014,,"7,761     ","7,124     ",637     ,8.2     
CN0110900000000,01,109,"Pike County, AL",2014,,"14,951     ","13,846     ","1,105     ",7.4     
CN0111100000000,01,111,"Randolph County, AL",2014,,"9,276     ","8,650     ",626     ,6.7     
CN0111300000000,01,113,"Russell County, AL",2014,,"24,771     ","23,146     ","1,625     ",6.6     
CN0111500000000,01,115,"St. Clair County, AL",2014,,"38,520     ","36,288     ","2,232     ",5.8     
CN0111700000000,01,117,"Shelby County, AL",2014,,"107,224     ","102,399     ","4,825     ",4.5     
CN0111900000000,01,119,"Sumter County, AL",2014,,"5,374     ","4,916     ",458     ,8.5     
